PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40747472,Obesity and male infertility - a tenuous relationship: Facts discerned for the busy clinicians.,2025,Lucia Rocco,"Department of Environmental, Biological and Pharmaceutical Sciences and Technologies (DiSTABiF), University of Campania 'L. Vanvitelli', Caserta, Italy.",N/A
40747308,"""Assessment of diabetes management strategies for blood glucose control in Sana'a City General Hospitals"".",2025,"Ali Salman Al-Shami, Adnan Aladhal, Zaid A Thawaba","Department of Pharmacology, Faculty of Medicine, Sanaa University, Sanaa, Yemen., Department of Pharmacology, Faculty of Medicine, Sanaa University, Sanaa, Yemen., Department of Pharmacology, Faculty of Medicine, Sanaa University, Sanaa, Yemen.",N/A
40747301,Mechanisms and therapeutics of insulin signaling transduction genes in diabetic cardiomyopathy: a comprehensive updated review.,2025,"Xi Yang, Xinghui He, Guoshuang Wang, Chuang Li, Chunhong Li","Department of Pharmaceutical Sciences, School of Pharmacy, Southwest Medical University, Luzhou, Sichuan, China., Department of Pharmaceutical Sciences, School of Pharmacy, Southwest Medical University, Luzhou, Sichuan, China., Department of Pharmaceutical Sciences, School of Pharmacy, Southwest Medical University, Luzhou, Sichuan, China., Department of Pharmaceutical Sciences, School of Pharmacy, Southwest Medical University, Luzhou, Sichuan, China., Department of Pharmaceutical Sciences, School of Pharmacy, Southwest Medical University, Luzhou, Sichuan, China.",N/A
40747237,Analysis of gastric electrical rhythm in patients with metabolic dysfunction-associated steatotic liver disease and type 2 diabetes mellitus.,2025,"Xi-Xi Wang, Chun Yan, Su-Juan Wang, Hong Zhu, Chang-Chun Cao, Li Wu, Shuang Wang, Ji Hu, Hong-Hong Zhang","Department of Endocrinology, The Affiliated Suqian Hospital of Xuzhou Medical University, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Second Afﬁliated Hospital of Soochow University, Suzhou 215000, Jiangsu Province, China., Department of Gastroenterology, Sihong Hospital, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Affiliated Suqian Hospital of Xuzhou Medical University, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Affiliated Suqian Hospital of Xuzhou Medical University, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Affiliated Suqian Hospital of Xuzhou Medical University, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Affiliated Suqian Hospital of Xuzhou Medical University, Suqian 223800, Jiangsu Province, China., Department of Endocrinology, The Second Afﬁliated Hospital of Soochow University, Suzhou 215000, Jiangsu Province, China., Clinical Research Center of Neurological Disease, Department of Endocrinology, The Second Affiliated Hospital of Soochow University, Suzhou 215000, Jiangsu Province, China. zhanghonghong@suda.edu.cn.",N/A
40746868,Oral MIB-626 (β Nicotinamide Mononucleotide) Safely Raises Blood Nicotinamide Adenine Dinucleotide Levels in Hospitalized Patients With COVID-19 and Acute Kidney Injury: A Randomized Controlled Trial.,2025,"Siva Lavu, Salma Karmi, David J Livingston","Metro International Biotech Worcester Massachusetts USA., Metro International Biotech Worcester Massachusetts USA., Metro International Biotech Worcester Massachusetts USA.",N/A
40746703,Weight Loss Efficacy of Tirzepatide Compared to Placebo or GLP-1 Receptor Agonists in Adults With Obesity or Overweight: A Meta-Analysis of Randomized Controlled Trials With ≥ 20 Weeks Treatment Duration.,2025,"Alhussain Khawaji, Abdulaziz A Jaly, Hanan A Bakri, Ahmed Hattan, Wael Najmi","Clinical Pharmacy, Al-Iman General Hospital, Riyadh, Saudi Arabia., Department of Pharmacy, Jazan University Hospital, Jazan, Saudi Arabia., Clinical Pharmacy, King Fahd Central Hospital, Jazan, Saudi Arabia., Pharmaceutical Care Services, King Abdullah Bin Abdul-Aziz University Hospital, Riyadh, Saudi Arabia., Pharmaceutical Care Services, Al-Iman General Hospital, Riyadh, Saudi Arabia.",N/A
40746674,Evaluating risk factors for surgical site infections following open reduction and internal fixation surgery for ankle fractures: a systematic review and meta-analysis.,2025,"Feifan Luan, Cong Zheng, Yuzhong Zheng, Jiayi Chen, Yurui Wu, Chenxiao Zheng","The Tenth Clinical Medical College of Guangzhou University of Traditional Chinese Medicine, Zhongshan Hospital of Traditional Chinese Medicine Affiliated to Guangzhou University of Traditional Chinese Medicine, Zhongshan, Guangdong Province, China., Key Laboratory of Biological Targeting Diagnosis, Therapy and Rehabilitation of Guangdong Higher Education Institutes, The Fifth Affiliated Hospital, Guangzhou Medical University, Zhongshan, Guangdong Province, China., The Tenth Clinical Medical College of Guangzhou University of Traditional Chinese Medicine, Zhongshan Hospital of Traditional Chinese Medicine Affiliated to Guangzhou University of Traditional Chinese Medicine, Zhongshan, Guangdong Province, China., The Tenth Clinical Medical College of Guangzhou University of Traditional Chinese Medicine, Zhongshan Hospital of Traditional Chinese Medicine Affiliated to Guangzhou University of Traditional Chinese Medicine, Zhongshan, Guangdong Province, China., The Tenth Clinical Medical College of Guangzhou University of Traditional Chinese Medicine, Zhongshan Hospital of Traditional Chinese Medicine Affiliated to Guangzhou University of Traditional Chinese Medicine, Zhongshan, Guangdong Province, China., The Tenth Clinical Medical College of Guangzhou University of Traditional Chinese Medicine, Zhongshan Hospital of Traditional Chinese Medicine Affiliated to Guangzhou University of Traditional Chinese Medicine, Zhongshan, Guangdong Province, China.",N/A
40746654,Gastroprotective and Antioxidant Effects of Ferula Plant Extract Against Indomethacin Induced Gastric Ulcer in Rats.,2025,"Muhammed Yayla, Lale Duysak","Pharmacology Department, Faculty of Medicine Selçuk University Konya Turkey., Department of Biochemistry Ataturk University Faculty of Pharmacy Erzurum Turkey.",N/A
40746620,The multifunctional role of bovine colostrum in managing diabetes: clinical insights and potential therapeutic effects.,2025,Fares M S Muthanna,"Department of Pharmacy, Faculty of Medicine and Health Sciences, University of Science and Technology, Aden, Yemen.",N/A
40745883,Myocardial-salvaging Effects of a Novel Polyherbal Combination with Dipeptidyl Peptidase-4 Inhibitory Activity.,2025,"Devkumar Durgaprasad Tiwari, Ujwala Maheswari, Vandana M Thorat","Department of Pharmacology, Krishna Institute of Medical Sciences, Krishna Vishwa Vidyapeeth (Deemed to be University), Karad, Navi Mumbai, India., Department of Pharmacology, Mahatma Gandhi Mission Medical College, Navi Mumbai, India., Department of Pharmacology, Krishna Institute of Medical Sciences, Krishna Vishwa Vidyapeeth (Deemed to be University), Karad, Navi Mumbai, India.",N/A
